"col1","col2","col3","col4","col5","col6","col7","col8"
"02548-2025","09/09/2025 6:51 AM","09/09/2025 6:40 AM - 09/09/2025 7:00 AM","Disorderly Conduct","Jacobs Building","Brooklyn Commons","A Campus Safety Officer reported Disorderly Conduct.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-2405","09/09/2025 10:47 AM","05-21-2025 - 07/31/2025","Larceny","1 Washington Place","Washington Square","A staff member reported missing property.","Closed/ Referred to NYPD"
"2025-2398","09/09/2025 2:36 AM","09/09/2025 1:00 AM","Drug Law Violation (x2)","University Hall","Washington Square","A student report possession of an illegal substance.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-2395","09/08/2025 9:20 PM","09/08/2025 9:16 PM","Harassment","Washington Square Park South","Washington Square","A student reported harassment.","Open"
"2025-2393","09/08/2025 4:15 PM","09/08/2025 2:51 PM - 09/08/2025 2:53 PM","Harassment","Hayden Hall","Washington Square","A student reported harassing phone calls","Open"
"2025-2384","09/08/2025 11:15 AM","09/08/2025 10:36 AM - 09/08/2025 11:15 AM","Harassment","194 Mercer Street","Washington Square","A student reported harassment.","Open"
"02504-2025","09/07/2025 1:54 AM","09/06/2025 11:40 PM - 09/06/2025","Liquor Law Violation","Palladium Residence Hall","Washington Square","A student reported a Liquor Law Violation. x25","Closed/Referred to Office of Student Conduct & Community Standards"
"02503-2025","09/07/2025 1:47 AM","09/06/2025 11:07 PM - 09/06/2025","Liquor Law Violation","Founders Residence Hall","Washington Square","A student reported a Liquor Law Violation. x7","Closed/Referred to Office of Student Conduct & Community Standards"
"02502-2025","09/07/2025 1:24 AM","09/06/2025 9:38 PM - 09/06/2025","Liquor Law Violation","Palladium Residence Hall","Washington Square","A student reported a Liquor Law Violation. x16","Closed/Referred to Office of Student Conduct & Community Standards"
"02498-2025","09/06/2025 11:54 PM","09/06/2025 11:25 PM - 09/06/2025","Liquor Law Violation","University Residence Hall","Washington Square","A student reported a Liquor Law Violation. x5","Closed/Referred to Office of Student Conduct & Community Standards"
"02487-2025","09/06/2025 1:29 AM","09/05/2025 12:56 AM - 09/05/2025","Liquor Law Violation","Third North Residence Hall","Washington Square","A student reported a Liquor Law Violation. x6","Closed/Referred to Office of Student Conduct & Community Standards"
"02485-2025","09/06/2025 12:34 AM","09/05/2025 11:35 PM - 09/05/2025","Liquor Law Violation","Third North Residence Hall","Washington Square","A student reported a Liquor Law Violation. x4","Closed/Referred to Office of Student Conduct & Community Standards"
"02483-2025","09/05/2025 11:32 PM","09/05/2025 10:00 PM - 09/05/2025","Liquor Law Violation","Palladium Residence Hall","Washington Square","A student reported a Liquor Law Violation. x21","Closed/Referred to Office of Student Conduct & Community Standards"
"2025-2376","09/07/2025 9:03 PM","09/07/2025 4:15 PM - 09/07/2025 9:03 PM","Larceny","Bobst Library","Washington Square","A student reported a Larceny.","Open"
"2025-2366","09/06/2025 7:01 PM","09/06/2025 5:30 PM - 09/06/2025 6:45 PM","Larceny","Palladium Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2025-2356","09/05/2025 12:59 PM","07/16/2025 12:00 AM - 09/05/2025","Larceny","Schwartz Hall","Kips Bay","A student reported a Larceny.","Open"
"2025-2355","09/05/2025 10:47 AM","09/05/2025 10:40 AM - 09/05/2025","Harassment","Silver Center - Exterior","Washington Square","A student reported Harassment.","Open"
"2025-2354","09/05/2025 10:26 AM","09/05/2025 10:01 AM - 09/05/2025 10:20 AM","Disorderly Conduct","Schwartz Hall","Kips Bay","A staff member reported Disorderly Conduct.","Open"
"02466-2025","09/04/2025 11:29 PM","09/04/2025 10:00 PM","Larceny","Alumni Hall","Washington Square","Two students reported missing property.","Closed/Referred to NYPD"
"02464-2025","09/04/2025 10:35 PM","09/04/2025 9:30 PM","Liquor Law Violation (x9)","Third Avenue North Residence Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-2353","09/05/2025 3:35 AM","09/05/2025 3:35 AM","Criminal Mischief","726 Broadway - Exterior","Washington Square","A Campus Safety Officer reported graffiti.","Open"
"2025-2345","09/04/2025 2:40 PM","09/04/2025 12:10 PM - 09/04/2025 2:40 PM","Motor Vehicle Theft","Fairchild Building","Washington Square","A student reported a stolen e-scooter.","Closed/ Referred to NYPD"
"2025-2341","09/04/2025 12:36 PM","09/02/2025 4:10 PM - 09/04/2025 1:00 PM","Bomb Threat / Falsely Reporting an Incident","400 Lafayette","Washington Square","A reported a Bomb Threat/Falsely Reporting an Incident.","Closed/ Referred to NYPD"
"02449-2025","09/04/2025 12:11 AM","09/03/2025 10:59 PM","Liquor Law Violation","Founders Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"02441-2025","09/03/2025 11:50 AM","09/02/2025 1:00 PM","Larceny","Lafayette Hall","Washington Square","A student reported missing property.","Open"
"02434-2025","09/02/2025 1:40 PM","08-30-2025","Larceny","Lipton Hall","Washington Square","A student reported stolen property.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-2332","09/03/2025 5:24 PM","09/03/2025 5:24 PM","Criminal Mischief","Kimmel Center","Washington Square","A staff member reported graffiti.","Open"
"2025-2331","09/03/2025 3:55 PM","09/03/2025 3:55 PM - 09/03/2025 4:08 PM","Loitering","Schwartz Hall","Kips Bay","A staff member reported Loitering.","Closed/ Referred to NYPD"
"2025-2329","09/03/2025 1:17 PM","09/03/2025 10:40 AM - 09/03/2025 12:15 PM","Motor Vehicle Theft","Fairchild Hall - Exterior","Washington Square","A student reported a stolen electronic scooter.","Closed/ Referred to NYPD"
"2025-2328","09/03/2025 1:47 PM","09/03/2025 1:47 PM - 01/00/1900 12:00 AM","Falsely Reporting an Incident","Fairchild Hall","Washington Square","A student falsely activated a fire alarm.","Open"
"2025-2322","09/03/2025 11:42 AM","09/03/2025 10:45 AM - 09/03/2025 11:25 AM","Larceny","Second Street Residence Hall","Washington Square","A student reported missing property.","Open"
"2025-2321","09-03-2025 10:56 AM","09-03-2025 9:15 AM","Harassment","6 Metrotech","Brooklyn Commons","A student reported Harassment.","Open"
"02408-2025","09-01-2025 1:02 AM","09-01-2025 1:02 AM","Criminal Mischief","Carlyle Court Residence Hall","Washington Square","A student reported Criminal Mischief.","Open"
"02408-2025","09-01-2025 1:02 AM","09-01-2025 1:02 AM","Criminal Mischief","Carlyle Court Residence Hall","Washington Square","A student reported Criminal Mischief.","Open"
"02401-2025","09-01-2025 3:09 AM","09-01-2025 1:23 AM","Liquor Law Violation (x7)","Third Avenue North Residence Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-2316","09-02-2025 5:41 PM","09-02-2025 4:15 PM","Public Lewdness","Palladium Hall","Washington Square","A student reported Public Lewdness.","Open"
"2025-2315","09-02-2025 5:00 PM","09-02-2025 3:10 PM","Attempted Larceny","Washington Square Park","Washington Square","A student reported an attempted Larceny.","Open"
"02368-2025","09-02-2025 10:21 AM","08-30-2025 12:30 PM","Larceny","Palladium Resident Hall","Washington Square","A student reported missing property.","Open"
"2025-2301","09-01-2025 2:50 PM","09-01-2025 2:00 PM","Larceny","Washington Square Park","Washington Square","A student reported stolen property.","Closed/ Referred to NYPD"
"2025-2298","09-01-2025 11:00 AM","08-31-2025 3:00 PM - 09-01-2025","Larceny","Paulson Center","Washington Square","A community member reported missing property.","Closed/ Referred to NYPD"
