col1,col2,col3,col4,col5,col6,col7,col8,sort_date
2025-1305,04/30/2025 1:19 PM,04/30/2025 1:00 PM - 04/30/2025 2:13 PM,Criminal Mischief,Institute for the Study of the Ancient World,Upper East Side,A visitor reported Criminal Mischief.,Open,2025-04-30
2025-1314,05/01/2025 11:36 AM,05/01/2025 11:36 AM - 05/01/2025 11:38 AM,Criminal Mischief,370 Jay Street - Exterior,Brooklyn Commons,A safety officer reported Criminal Mischief.,Closed/ Referred to NYPD,2025-05-01
2025-1317,05/01/2025 3:32 PM,05-01-2025 - 05/01/2025 3:29 PM,Simple Assault,561 LaGuardia Place,Washington Square,A safety officer reported Simple Assault.,Closed/ Referred to NYPD,2025-05-01
2025-1330,05/02/2025 3:44 PM,04/03/2025 1:31 PM - 04/03/2025 1:31 PM,Criminal Mischief,Schwartz Hall,Kips Bay,A staff member reported Criminal Mischeif.,Open,2025-05-02
2025-1324,05/02/2025 9:55 AM,03/31/2025 3:31 PM - 03/31/2025 4:13 PM,Public Lewdness,Rogers Hall,Brooklyn Commons,A staff member reported Public Lewdness.,Open,2025-05-02
2025-1325,05/02/2025 9:57 AM,04-14-2025 - 05/02/2025 7:36 AM,Harassment,Schwartz Plaza,Washington Square,A staff member reported Harassment.,Open,2025-05-02
2025-1331,05/02/2025 5:52 PM,05/01/2025 12:25 PM - 05/01/2025 1:40 PM,Larceny,404 Lafayette Street,Washington Square,A student reported a Larceny.,Open,2025-05-02
01367-2025,05/03/2025 11:54 PM,05/03/2025 11:05 PM - 05/03/2025 11:05 PM,Liquor Law Violation x4,Founders Residence Hall,Washington Square,A student reported a Liquor Law Violation. x4,Closed/ Referred to Office of Student Conduct & Community Standards,2025-05-03
2025-1339,05/03/2025 10:49 PM,05/03/2025 10:49 PM - 05/03/2025 10:49 PM,Simple Assault,Lipton Residence Hall,Washington Square,A student reported a Simple Assault.,Open,2025-05-03
2025-1343,05/04/2025 5:06 AM,05/04/2025 5:06 AM - 05/04/2025 5:06 AM,Criminal Mischief,Third North Residence Hall - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Open,2025-05-04
2025-1342,05/04/2025 1:41 AM,05/04/2025 10:30 PM - 05/04/2025 1:29 AM,Larceny,Palladium Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-05-04
2025-1346,05/04/2025 11:51 AM,05/03/2025 8:58 PM - 05/03/2025 9:03 PM,Larceny,Hayden Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-05-04
