raw_building,raw_area,canonical_building,glb_name,include,notes,sort_key
Thompson Street & Washington Square South,Washington Square,Thompson Street & Washington Square South,WASHINGTON_SQUARE_PARK,yes,,thompson street washington square south
Tisch Hall,Washington Square,Tisch Hall,STERN_TISCH_HALL,yes,,tisch hall
University Hall,Washington Square,University Hall,UNIVERSITY_HALL,yes,,university hall
University Hall - Exterior,Washington Square,University Hall - Exterior,UNIVERSITY_HALL,yes,,university hall exterior
University Residence Hall,Washington Square,University Residence Hall,UNIVERSITY_HALL,yes,,university residence hall
University Residence Hall - Exterior,Washington Square,University Residence Hall - Exterior,UNIVERSITY_HALL,yes,,university residence hall exterior
Vanderbilt Hall,Washington Square,Vanderbilt Hall,VANDERBILT_HALL,yes,,vanderbilt hall
Vanderbilt Hall - Exterior,Washington Square,Vanderbilt Hall - Exterior,VANDERBILT_HALL,yes,,vanderbilt hall exterior
Wagner,Washington Square,Wagner,105_EAST_17TH_STREET,yes,,wagner
Wagner Building,Washington Square,Wagner Building,105_EAST_17TH_STREET,yes,,wagner building
Warren Weaver - Exterior,Washington Square,Warren Weaver - Exterior,WARREN_WEAVER_HALL,yes,,warren weaver exterior
Warren Weaver Hall,Washington Square,Warren Weaver Hall,WARREN_WEAVER_HALL,yes,,warren weaver hall
Warren Weaver Hall - Exterior,Washington Square,Warren Weaver Hall - Exterior,WARREN_WEAVER_HALL,yes,,warren weaver hall exterior
Washington Mews,Washington Square,Washington Mews,WASHINGTON_MEWS,yes,,washington mews
Washington Square East at Washington Place,Washington Square,Washington Square East at Washington Place,WASHINGTON_SQUARE_PARK,yes,,washington square east at washington place
Washington Square North at 5th Avenue,Washington Square,Washington Square North at 5th Avenue,WASHINGTON_SQUARE_PARK,yes,,washington square north at 5th avenue
Washington Square North at Waverly Place,Washington Square,Washington Square North at Waverly Place,WASHINGTON_SQUARE_PARK,yes,,washington square north at waverly place
Washington Square North & Fifth Avenue,Washington Square,Washington Square North & Fifth Avenue,WASHINGTON_SQUARE_PARK,yes,,washington square north fifth avenue
Washington Square North near 5th Avenue,Washington Square,Washington Square North near 5th Avenue,WASHINGTON_SQUARE_PARK,yes,,washington square north near 5th avenue
Washington Square Park,Washington Square,Washington Square Park,WASHINGTON_SQUARE_PARK,yes,,washington square park
"Washington Square Park, north entrance",Washington Square,"Washington Square Park, north entrance",WASHINGTON_SQUARE_PARK,yes,,washington square park north entrance
Washington Square Park South,Washington Square,Washington Square Park South,WASHINGTON_SQUARE_PARK,yes,,washington square park south
Washington Square South,Washington Square,Washington Square South,WASHINGTON_SQUARE_PARK,yes,,washington square south
Washington Square South and Thompson Street,Washington Square,Washington Square South and Thompson Street,WASHINGTON_SQUARE_PARK,yes,,washington square south and thompson street
Washington Square Village,Washington Square,Washington Square Village,WASHINGTON_SQUARE_VILLAGE,yes,,washington square village
Weinstein Hall,Washington Square,Weinstein Hall,WEINSTEIN_HALL,yes,,weinstein hall
Weinstein Hall - Exterior,Washington Square,Weinstein Hall - Exterior,WEINSTEIN_HALL,yes,,weinstein hall exterior
Weinstein Residence Hall,Washington Square,Weinstein Residence Hall,WEINSTEIN_HALL,yes,,weinstein residence hall
Weinstein Residence Hall - Exterior,Washington Square,Weinstein Residence Hall - Exterior,WEINSTEIN_HALL,yes,,weinstein residence hall exterior
Weissman Building,Kips Bay,Weissman Building,WSISSMAN_HALL,yes,,weissman building
Weissman Hall,Kips Bay,Weissman Hall,WSISSMAN_HALL,yes,,weissman hall
Weissman Hall - Exterior,Kips Bay & Langone (Public property only),Weissman Hall - Exterior,WSISSMAN_HALL,yes,,weissman hall exterior
Weissman Hall (exterior),Kips Bay & Langone (Public property only),Weissman Hall (exterior),WSISSMAN_HALL,yes,,weissman hall exterior
Zurich Hall,Washington Square,Zurich Hall,RUBIN_HALL,yes,,zurich hall
